question_id,part_id,question_number,question_title,parse_status,expected_article_count,parsed_article_count,parsed_passage_count,warning_count,missing_article_numbers,source_url,excluded_reason
st.ii-ii.q112,ii-ii,112,Boasting,ok,2,2,8,0,[],https://www.newadvent.org/summa/3112.htm,
st.ii-ii.q113,ii-ii,113,Irony,ok,2,2,8,0,[],https://www.newadvent.org/summa/3113.htm,
st.ii-ii.q114,ii-ii,114,The friendliness which is called affability,ok,2,2,8,0,[],https://www.newadvent.org/summa/3114.htm,
st.ii-ii.q115,ii-ii,115,Flattery,ok,2,2,8,0,[],https://www.newadvent.org/summa/3115.htm,
st.ii-ii.q116,ii-ii,116,Quarreling,ok,2,2,8,0,[],https://www.newadvent.org/summa/3116.htm,
st.ii-ii.q117,ii-ii,117,Liberality,ok,6,6,25,0,[],https://www.newadvent.org/summa/3117.htm,
st.ii-ii.q118,ii-ii,118,"The vices opposed to liberality, and in the first place, of covetousness",ok,8,8,34,0,[],https://www.newadvent.org/summa/3118.htm,
st.ii-ii.q119,ii-ii,119,Prodigality,ok,3,3,12,0,[],https://www.newadvent.org/summa/3119.htm,
st.ii-ii.q120,ii-ii,120,"""Epikeia"" or equity",ok,2,2,8,0,[],https://www.newadvent.org/summa/3120.htm,
st.ii-ii.q121,ii-ii,121,Piety,ok,2,2,7,0,[],https://www.newadvent.org/summa/3121.htm,
st.ii-ii.q122,ii-ii,122,The precepts of justice,ok,6,6,30,0,[],https://www.newadvent.org/summa/3122.htm,
st.ii-ii.q123,ii-ii,123,Fortitude,partial,12,12,43,4,[],https://www.newadvent.org/summa/3123.htm,
st.ii-ii.q124,ii-ii,124,Martyrdom,ok,5,5,21,0,[],https://www.newadvent.org/summa/3124.htm,
st.ii-ii.q125,ii-ii,125,Fear,ok,4,4,16,0,[],https://www.newadvent.org/summa/3125.htm,
st.ii-ii.q126,ii-ii,126,Fearlessness,ok,2,2,8,0,[],https://www.newadvent.org/summa/3126.htm,
st.ii-ii.q127,ii-ii,127,Daring,ok,2,2,8,0,[],https://www.newadvent.org/summa/3127.htm,
st.ii-ii.q128,ii-ii,128,The parts of fortitude,ok,1,1,8,0,[],https://www.newadvent.org/summa/3128.htm,
st.ii-ii.q129,ii-ii,129,Magnanimity,ok,8,8,34,0,[],https://www.newadvent.org/summa/3129.htm,
st.ii-ii.q130,ii-ii,130,Presumption,ok,2,2,8,0,[],https://www.newadvent.org/summa/3130.htm,
st.ii-ii.q131,ii-ii,131,Ambition,ok,2,2,8,0,[],https://www.newadvent.org/summa/3131.htm,
st.ii-ii.q132,ii-ii,132,Vainglory,ok,5,5,20,0,[],https://www.newadvent.org/summa/3132.htm,
st.ii-ii.q133,ii-ii,133,Pusillanimity,ok,2,2,10,0,[],https://www.newadvent.org/summa/3133.htm,
st.ii-ii.q134,ii-ii,134,Magnificence,ok,4,4,18,0,[],https://www.newadvent.org/summa/3134.htm,
st.ii-ii.q135,ii-ii,135,Meanness,ok,2,2,8,0,[],https://www.newadvent.org/summa/3135.htm,
st.ii-ii.q136,ii-ii,136,Patience,ok,5,5,18,0,[],https://www.newadvent.org/summa/3136.htm,
st.ii-ii.q137,ii-ii,137,Perseverance,ok,4,4,16,0,[],https://www.newadvent.org/summa/3137.htm,
st.ii-ii.q138,ii-ii,138,The vices opposed to perseverance,partial,2,2,8,1,[],https://www.newadvent.org/summa/3138.htm,
st.ii-ii.q139,ii-ii,139,The gift of fortitude,ok,2,2,8,0,[],https://www.newadvent.org/summa/3139.htm,
st.ii-ii.q140,ii-ii,140,The precepts of fortitude,ok,2,2,8,0,[],https://www.newadvent.org/summa/3140.htm,
st.ii-ii.q141,ii-ii,141,Temperance,ok,8,8,34,0,[],https://www.newadvent.org/summa/3141.htm,
st.ii-ii.q142,ii-ii,142,The vices opposed to temperance,ok,4,4,16,0,[],https://www.newadvent.org/summa/3142.htm,
st.ii-ii.q143,ii-ii,143,"The parts of temperance, in general",ok,1,1,5,0,[],https://www.newadvent.org/summa/3143.htm,
st.ii-ii.q144,ii-ii,144,Shamefacedness,ok,4,4,21,0,[],https://www.newadvent.org/summa/3144.htm,
st.ii-ii.q145,ii-ii,145,Honesty,ok,4,4,17,0,[],https://www.newadvent.org/summa/3145.htm,
st.ii-ii.q146,ii-ii,146,Abstinence,ok,2,2,9,0,[],https://www.newadvent.org/summa/3146.htm,
st.ii-ii.q147,ii-ii,147,Fasting,ok,8,8,34,0,[],https://www.newadvent.org/summa/3147.htm,
st.ii-ii.q148,ii-ii,148,Gluttony,ok,6,6,25,0,[],https://www.newadvent.org/summa/3148.htm,
st.ii-ii.q149,ii-ii,149,Sobriety,partial,4,4,13,2,[],https://www.newadvent.org/summa/3149.htm,
st.ii-ii.q150,ii-ii,150,Drunkenness,ok,4,4,17,0,[],https://www.newadvent.org/summa/3150.htm,
st.ii-ii.q151,ii-ii,151,Chastity,ok,4,4,17,0,[],https://www.newadvent.org/summa/3151.htm,
st.ii-ii.q152,ii-ii,152,Virginity,ok,5,5,23,0,[],https://www.newadvent.org/summa/3152.htm,
st.ii-ii.q153,ii-ii,153,Lust,ok,5,5,21,0,[],https://www.newadvent.org/summa/3153.htm,
st.ii-ii.q154,ii-ii,154,The parts of Lust,ok,12,12,56,0,[],https://www.newadvent.org/summa/3154.htm,
st.ii-ii.q155,ii-ii,155,Continence,ok,4,4,18,0,[],https://www.newadvent.org/summa/3155.htm,
st.ii-ii.q156,ii-ii,156,Incontinence,ok,4,4,16,0,[],https://www.newadvent.org/summa/3156.htm,
st.ii-ii.q157,ii-ii,157,Clemency and meekness,ok,4,4,16,0,[],https://www.newadvent.org/summa/3157.htm,
st.ii-ii.q158,ii-ii,158,Anger,ok,8,8,34,0,[],https://www.newadvent.org/summa/3158.htm,
st.ii-ii.q159,ii-ii,159,Cruelty,ok,2,2,8,0,[],https://www.newadvent.org/summa/3159.htm,
st.ii-ii.q160,ii-ii,160,Modesty,ok,2,2,7,0,[],https://www.newadvent.org/summa/3160.htm,
st.ii-ii.q161,ii-ii,161,Humility,ok,6,6,30,0,[],https://www.newadvent.org/summa/3161.htm,
st.ii-ii.q162,ii-ii,162,Pride,ok,8,8,36,0,[],https://www.newadvent.org/summa/3162.htm,
st.ii-ii.q163,ii-ii,163,The first man's sin,ok,4,4,17,0,[],https://www.newadvent.org/summa/3163.htm,
st.ii-ii.q164,ii-ii,164,The punishments of the first man's sin,ok,2,2,19,0,[],https://www.newadvent.org/summa/3164.htm,
st.ii-ii.q165,ii-ii,165,Our first parents' temptation,ok,2,2,9,0,[],https://www.newadvent.org/summa/3165.htm,
st.ii-ii.q166,ii-ii,166,Studiousness,ok,2,2,8,0,[],https://www.newadvent.org/summa/3166.htm,
st.ii-ii.q167,ii-ii,167,Curiosity,ok,2,2,8,0,[],https://www.newadvent.org/summa/3167.htm,
st.ii-ii.q168,ii-ii,168,Modesty as consisting in the outward movements of the body,ok,4,4,17,0,[],https://www.newadvent.org/summa/3168.htm,
st.ii-ii.q169,ii-ii,169,Modesty in the outward apparel,ok,2,2,9,0,[],https://www.newadvent.org/summa/3169.htm,
st.ii-ii.q170,ii-ii,170,The precepts of temperance,ok,2,2,8,0,[],https://www.newadvent.org/summa/3170.htm,
st.ii-ii.q171,ii-ii,171,Prophecy,partial,6,6,22,2,[],https://www.newadvent.org/summa/3171.htm,
st.ii-ii.q172,ii-ii,172,The cause of prophecy,partial,6,6,26,1,[],https://www.newadvent.org/summa/3172.htm,
st.ii-ii.q173,ii-ii,173,The manner in which prophetic knowledge is conveyed,partial,4,4,14,2,[],https://www.newadvent.org/summa/3173.htm,
st.ii-ii.q174,ii-ii,174,The division of prophecy,ok,6,6,26,0,[],https://www.newadvent.org/summa/3174.htm,
st.ii-ii.q175,ii-ii,175,Rapture,ok,6,6,25,0,[],https://www.newadvent.org/summa/3175.htm,
st.ii-ii.q176,ii-ii,176,The grace of tongues,ok,2,2,9,0,[],https://www.newadvent.org/summa/3176.htm,
st.ii-ii.q177,ii-ii,177,The gratuitous grace consisting in words,ok,2,2,9,0,[],https://www.newadvent.org/summa/3177.htm,
st.ii-ii.q178,ii-ii,178,The grace of miracles,ok,2,2,11,0,[],https://www.newadvent.org/summa/3178.htm,
st.ii-ii.q179,ii-ii,179,The division of life into active and contemplative,ok,2,2,8,0,[],https://www.newadvent.org/summa/3179.htm,
st.ii-ii.q180,ii-ii,180,The contemplative life,ok,8,8,35,0,[],https://www.newadvent.org/summa/3180.htm,
st.ii-ii.q181,ii-ii,181,The active life,ok,4,4,16,0,[],https://www.newadvent.org/summa/3181.htm,
st.ii-ii.q182,ii-ii,182,The active life in comparison with the contemplative life,partial,4,4,13,2,[],https://www.newadvent.org/summa/3182.htm,
st.ii-ii.q183,ii-ii,183,Excluded by corpus scope,excluded,0,0,0,0,[],https://www.newadvent.org/summa/3183.htm,Explicitly excluded: II-II qq. 183–189 are out of scope.
st.ii-ii.q184,ii-ii,184,Excluded by corpus scope,excluded,0,0,0,0,[],https://www.newadvent.org/summa/3184.htm,Explicitly excluded: II-II qq. 183–189 are out of scope.
st.ii-ii.q185,ii-ii,185,Excluded by corpus scope,excluded,0,0,0,0,[],https://www.newadvent.org/summa/3185.htm,Explicitly excluded: II-II qq. 183–189 are out of scope.
st.ii-ii.q186,ii-ii,186,Excluded by corpus scope,excluded,0,0,0,0,[],https://www.newadvent.org/summa/3186.htm,Explicitly excluded: II-II qq. 183–189 are out of scope.
st.ii-ii.q187,ii-ii,187,Excluded by corpus scope,excluded,0,0,0,0,[],https://www.newadvent.org/summa/3187.htm,Explicitly excluded: II-II qq. 183–189 are out of scope.
st.ii-ii.q188,ii-ii,188,Excluded by corpus scope,excluded,0,0,0,0,[],https://www.newadvent.org/summa/3188.htm,Explicitly excluded: II-II qq. 183–189 are out of scope.
st.ii-ii.q189,ii-ii,189,Excluded by corpus scope,excluded,0,0,0,0,[],https://www.newadvent.org/summa/3189.htm,Explicitly excluded: II-II qq. 183–189 are out of scope.
