edge_id,subject_id,subject_label,subject_type,relation_type,object_id,object_label,object_type,support_annotation_ids,source_passage_ids,support_types,evidence_snippets,review_layer,temperance_cluster,temperance_focus
edge.general_integral.concept.shamefacedness.integral_part_of.concept.temperance,concept.shamefacedness,Shamefacedness,passion,integral_part_of,concept.temperance,Temperance,virtue,['ann.concept-shamefacedness-integral-part-of-concept-temperance-st-ii-ii-q143-a001-resp'],['st.ii-ii.q143.a001.resp'],['explicit_textual'],"['ncurrence of which are necessary for virtue : and in this respect there are two integral parts of temperance , ""shamefacedness,"" whereby one recoils from the disgrace that is contrary to temperance , and ""honesty,"" whereby one loves the beauty of temperance . For, as stated above ( II-II']",reviewed_doctrinal,general_integral,"['general_integral', 'integral_part', 'temperance_proper']"
edge.sexual.concept.simple_fornication.species_of.concept.lust,concept.simple_fornication,Simple Fornication,sin_type,species_of,concept.lust,Lust,vice,['ann.concept-simple-fornication-species-of-concept-lust-st-ii-ii-q154-a001-resp'],['st.ii-ii.q154.a001.resp'],['explicit_textual'],"['hindering the due upbringing and advancement of the child when born, there is ""simple fornication,"" which is the union of an unmarried man with an unmarried woman . Secondly, the matter wherein the venereal act is consummated may be discordant with right reason in relation to']",reviewed_doctrinal,sexual,"['sex', 'sexual']"
edge.food_drink.concept.sobriety.concerns_drink.concept.drink,concept.sobriety,Sobriety,virtue,concerns_drink,concept.drink,Drink,object,['ann.concept-sobriety-concerns-drink-concept-drink-st-ii-ii-q149-a001-resp'],['st.ii-ii.q149.a001.resp'],['explicit_textual'],"['When a virtue is denominated from some condition common to the virtues , the matter specially belonging to it is that in which it is most difficult and most commendable to satisfy that condition of virtue : thus fortitude is about dangers of death, and tempera']",reviewed_doctrinal,food_drink,"['drink', 'food_drink', 'temperance_proper']"
edge.food_drink.concept.sobriety.species_of.concept.virtue,concept.sobriety,Sobriety,virtue,species_of,concept.virtue,Virtue,virtue,['ann.concept-sobriety-species-of-concept-virtue-st-ii-ii-q149-a002-resp'],['st.ii-ii.q149.a002.resp'],['explicit_textual'],"['it. Hence wherever we find a special hindrance to reason, there must needs be a special virtue to remove it. Now intoxicating drink is a special kind of hindrance to the use of reason , inasmuch as it disturbs the brain by its fumes. Wherefore in order to remove this hindra']",reviewed_doctrinal,food_drink,"['drink', 'food_drink']"
edge.food_drink.concept.sobriety.subjective_part_of.concept.temperance,concept.sobriety,Sobriety,virtue,subjective_part_of,concept.temperance,Temperance,virtue,['ann.concept-sobriety-subjective-part-of-concept-temperance-st-ii-ii-q149-a002-resp'],['st.ii-ii.q149.a002.resp'],['explicit_textual'],"['it. Hence wherever we find a special hindrance to reason, there must needs be a special virtue to remove it. Now intoxicating drink is a special kind of hindrance to the use of reason , inasmuch as it disturbs the brain by its fumes. Wherefore in order to remove this hindra']",reviewed_doctrinal,food_drink,"['drink', 'food_drink', 'subjective_part', 'temperance_proper']"
edge.general_integral.concept.sobriety.subjective_part_of.concept.temperance,concept.sobriety,Sobriety,virtue,subjective_part_of,concept.temperance,Temperance,virtue,['ann.concept-sobriety-subjective-part-of-concept-temperance-st-ii-ii-q143-a001-resp'],['st.ii-ii.q143.a001.resp'],['explicit_textual'],"['as regards meat, there is ""abstinence,"" and as regards drink properly there is ""sobriety."" Other pleasures are directed to the power of procreation, and in these as regards the principal pleasure of the act itself of procreation, there is "" chastity ,"" and as to the p']",reviewed_doctrinal,general_integral,"['drink', 'general_integral', 'subjective_part', 'temperance_proper']"
edge.temperance_proper.concept.temperance.concerns_drink.concept.drink,concept.temperance,Temperance,virtue,concerns_drink,concept.drink,Drink,object,['ann.concept-temperance-concerns-drink-concept-drink-st-ii-ii-q141-a004-resp'],['st.ii-ii.q141.a004.resp'],['explicit_textual'],"['al operations are those which preserve the nature of the individual by means of meat and drink, and the nature of the species by the union of the sexes. Hence temperance is properly about pleasures of meat and drink and sexual pleasures. Now these pleasures result from the']",reviewed_doctrinal,temperance_proper,"['drink', 'temperance_proper']"
edge.temperance_proper.concept.temperance.concerns_food.concept.food,concept.temperance,Temperance,virtue,concerns_food,concept.food,Food,object,['ann.concept-temperance-concerns-food-concept-food-st-ii-ii-q141-a004-resp'],['st.ii-ii.q141.a004.resp'],['explicit_textual'],"['al operations are those which preserve the nature of the individual by means of meat and drink, and the nature of the species by the union of the sexes. Hence temperance is properly about pleasures of meat and drink and sexual pleasures. Now these pleasures result from the']",reviewed_doctrinal,temperance_proper,"['food', 'temperance_proper']"
edge.temperance_proper.concept.temperance.concerns_sexual_pleasure.concept.sexual_pleasure,concept.temperance,Temperance,virtue,concerns_sexual_pleasure,concept.sexual_pleasure,Venereal / Sexual Pleasure,domain,['ann.concept-temperance-concerns-sexual-pleasure-concept-sexual-pleasure-st-ii-ii-q141-a004-resp'],['st.ii-ii.q141.a004.resp'],['explicit_textual'],"['the individual by means of meat and drink, and the nature of the species by the union of the sexes. Hence temperance is properly about pleasures of meat and drink and sexual pleasures. Now these pleasures result from the sense of touch. Wherefore it follows that temperance is a']",reviewed_doctrinal,temperance_proper,"['sex', 'temperance_proper']"
edge.temperance_proper.concept.temperance.has_object.concept.pleasures_of_touch,concept.temperance,Temperance,virtue,has_object,concept.pleasures_of_touch,Pleasures of Touch,domain,['ann.concept-temperance-has-object-concept-pleasures-of-touch-st-ii-ii-q141-a004-resp'],['st.ii-ii.q141.a004.resp'],['explicit_textual'],"['re itself is dissolved; and such are dangers of death. Wherefore in like manner temperance must needs be about desires for the greatest pleasures. And since pleasure results from a natural operation, it is so much the greater according as it results from a more natural operation. Now to animals the most natural operations a']",reviewed_doctrinal,temperance_proper,['temperance_proper']
edge.temperance_proper.concept.temperance.regulated_by.concept.reason,concept.temperance,Temperance,virtue,regulated_by,concept.reason,Reason,faculty,['ann.concept-temperance-regulated-by-concept-reason-st-ii-ii-q141-a006-resp'],['st.ii-ii.q141.a006.resp'],['explicit_textual'],"['As stated above ( Article 1 ; II-II:109:2 ; 123, 12 ), the good of moral virtue consists chiefly in the order of reason: because "" man\'s good is to be in accord with reason,"" as Dionysius asserts (Div. Nom. iv). Now the principal order of reason is that by which it directs certain things towards th']",reviewed_doctrinal,temperance_proper,['temperance_proper']
edge.temperance_proper.concept.temperance.species_of.concept.cardinal_virtue,concept.temperance,Temperance,virtue,species_of,concept.cardinal_virtue,Cardinal Virtue,virtue,['ann.concept-temperance-species-of-concept-cardinal-virtue-st-ii-ii-q141-a007-resp'],['st.ii-ii.q141.a007.resp'],['explicit_textual'],"['As stated above ( 123, 11 ; II-II:61:3 ), a principal or cardinal virtue is so called because it has a foremost claim to praise on account of one of those things that are requisite for the notion of virtue in general. Now moderation, which is requisite']",reviewed_doctrinal,temperance_proper,['temperance_proper']
edge.temperance_proper.concept.temperance.species_of.concept.virtue,concept.temperance,Temperance,virtue,species_of,concept.virtue,Virtue,virtue,['ann.concept-temperance-species-of-concept-virtue-st-ii-ii-q141-a001-resp'],['st.ii-ii.q141.a001.resp'],['explicit_textual'],"['since its very name implies moderation or temperateness, which reason causes . Therefore temperance is a virtue .']",reviewed_doctrinal,temperance_proper,['temperance_proper']
edge.sexual.concept.unnatural_vice_lust.species_of.concept.lust,concept.unnatural_vice_lust,Vice Against Nature,sin_type,species_of,concept.lust,Lust,vice,['ann.concept-unnatural-vice-lust-species-of-concept-lust-st-ii-ii-q154-a001-resp'],['st.ii-ii.q154.a001.resp'],['explicit_textual'],"['nereal act. On this way, as hindering the begetting of children, there is the "" vice against nature ,"" which attaches to every venereal act from which generation cannot follow; and, as hindering the due upbringing and advancement of the child when born, there is ""simple fornicat']",reviewed_doctrinal,sexual,"['sex', 'sexual']"
edge.sexual.concept.virginity.species_of.concept.virtue,concept.virginity,Virginity,virtue,species_of,concept.virtue,Virtue,virtue,['ann.concept-virginity-species-of-concept-virtue-st-ii-ii-q152-a003-resp'],['st.ii-ii.q152.a003.resp'],['explicit_textual'],"['As stated above ( Article 1 ), the formal and completive element in virginity is the purpose of abstaining from venereal pleasure, which purpose is rendered praiseworthy by its end, in so far, to wit, as this is done in order to have leisure for Divine thin']",reviewed_doctrinal,sexual,"['sex', 'sexual']"
